Year,Date,Opponent,Comp,Kit,Case,Attended,Shade,Border,Footer,Notes,Team BG,Team Font,Opp BG,Opp Font
2021-22,8/19/21,Paços de Ferreira,Conference League Playoff Round,,,,,,,,,,,
2021-22,8/22/21,Wolves,Premier League MW 2,,,,,,,,,,,
2021-22,8/26/21,Paços de Ferreira,Conference League Playoff Round,,,,,,,,,,,
2021-22,8/29/21,Watford,Premier League MW 3,,,,,,,,,,,
2021-22,9/11/21,Crystal Palace,Premier League MW 4,,,,,,,,,,,
2021-22,9/16/21,Rennes,Conference League Group Stage,,,,,,,,,,,
2021-22,9/19/21,Chelsea,Premier League MW 5,,,,,,,,,,,
2021-22,9/22/21,Wolves,League Cup Third Round,,,,,,,,,,,
2021-22,9/26/21,Arsenal,Premier League MW 6,,,,,,,,,,,
2021-22,9/30/21,Mura,Conference League Group Stage,,,,,,,,,,,
2021-22,10/3/21,Aston Villa,Premier League MW 7,,,,,,,,,,,
2021-22,10/17/21,Newcastle United,Premier League MW 8,,,,,,,,,,,
2021-22,10/21/21,Vitesse,Conference League Group Stage,,,,,,,,,,,
2021-22,10/24/21,West Ham United,Premier League MW 9,,,,,,,,,,,
2021-22,10/27/21,Burnley,League Cup Fourth Round,,,,,,,,,,,
2021-22,10/30/21,Man United,Premier League MW 10,,,,,,,,,,,
2021-22,11/4/21,Vitesse,Conference League Group Stage,,,,,,,,,,,
2021-22,11/7/21,Everton,Premier League MW 11,,,,,,,,,,,
2021-22,11/21/21,Leeds United,Premier League MW 12,,,,,,,,,,,
2021-22,11/25/21,Mura,Conference League Group Stage,,,,,,,,,,,
2021-22,12/2/21,Brentford,Premier League MW 14,,,,,,,,,,,
2021-22,12/5/21,Norwich City,Premier League MW 15,,,,,,,,,,,
2021-22,12/9/21,Rennes,Conference League Group Stage,,,,,,,,,,,
2021-22,12/19/21,Liverpool,Premier League MW 18,,,,,,,,,,,
2021-22,12/22/21,West Ham United,League Cup Quarterfinals,,,,,,,,,,,
2021-22,12/26/21,Crystal Palace,Premier League MW 19,,,,,,,,,,,
2021-22,12/28/21,Southampton,Premier League MW 20,,,,,,,,,,,
2021-22,1/1/22,Watford,Premier League MW 21,,,,,,,,,,,
2021-22,1/5/22,Chelsea,League Cup Semifinals,,,,,,,,,,,
2021-22,1/9/22,Morecambe,FA Cup Third Round,,,,,,,,,,,
2021-22,1/12/22,Chelsea,League Cup Semifinals,,,,,,,,,,,
2021-22,1/19/22,Leicester City,Premier League MW 17,,,,,,,,,,,
2021-22,1/23/22,Chelsea,Premier League MW 23,,,,,,,,,,,
2021-22,2/5/22,Brighton,FA Cup Fourth Round,,,,,,,,,,,
2021-22,2/9/22,Southampton,Premier League MW 24,,,,,,,,,,,
2021-22,2/13/22,Wolves,Premier League MW 25,,,,,,,,,,,
2021-22,2/19/22,Man City,Premier League MW 26,,,,,,,,,,,
2021-22,2/23/22,Burnley,Premier League MW 13,,,,,,,,,,,
2021-22,2/26/22,Leeds United,Premier League MW 27,,,,,,,,,,,
2021-22,3/1/22,Middlesbrough,FA Cup Fifth Round,,,,,,,,,,,
2021-22,3/7/22,Everton,Premier League MW 28,,,,,,,,,,,
2021-22,3/12/22,Man United,Premier League MW 29,,,,,,,,,,,
2021-22,3/16/22,Brighton,Premier League MW 16,,,,,,,,,,,
2021-22,3/20/22,West Ham United,Premier League MW 30,,,,,,,,,,,
2021-22,4/3/22,Newcastle United,Premier League MW 31,,,,,,,,,,,
2021-22,4/9/22,Aston Villa,Premier League MW 32,,,,,,,,,,,
2021-22,4/16/22,Brighton,Premier League MW 33,,,,,,,,,,,
2021-22,4/23/22,Brentford,Premier League MW 34,,,,,,,,,,,
2021-22,5/1/22,Leicester City,Premier League MW 35,,,,,,,,,,,
2021-22,5/7/22,Liverpool,Premier League MW 36,,,,,,,,,,,
2021-22,5/12/22,Arsenal,Premier League MW 22,,,,,,,,,,,
2021-22,5/15/22,Burnley,Premier League MW 37,,,,,,,,,,,
2021-22,5/22/22,Norwich City,Premier League MW 38,,,,,,,,,,,
2022-23,8/6/22,Southampton,Premier League MW 1,,,,,,,,,,,
2022-23,8/14/22,Chelsea,Premier League MW 2,,,,,,,,,,,
2022-23,8/20/22,Wolves,Premier League MW 3,,,,,,,,,,,
2022-23,8/28/22,Nottingham Forest,Premier League MW 4,,,,,,,,,,,
2022-23,8/31/22,West Ham United,Premier League MW 5,,,,,,,,,,,
2022-23,9/3/22,Fulham,Premier League MW 6,,,,,,,,,,,
2022-23,9/7/22,Marseille,Champions League Group Stage,,,,,,,,,,,
2022-23,9/13/22,Sporting CP,Champions League Group Stage,,,,,,,,,,,
2022-23,9/17/22,Leicester City,Premier League MW 8,,,,,,,,,,,
2022-23,10/1/22,Arsenal,Premier League MW 9,,,,,,,,,,,
2022-23,10/4/22,Eintracht Frankfurt,Champions League Group Stage,,,,,,,,,,,
2022-23,10/8/22,Brighton,Premier League MW 10,,,,,,,,,,,
2022-23,10/12/22,Eintracht Frankfurt,Champions League Group Stage,,,,,,,,,,,
2022-23,10/15/22,Everton,Premier League MW 11,,,,,,,,,,,
2022-23,10/19/22,Man United,Premier League MW 12,,,,,,,,,,,
2022-23,10/23/22,Newcastle United,Premier League MW 13,,,,,,,,,,,
2022-23,10/26/22,Sporting CP,Champions League Group Stage,,,,,,,,,,,
2022-23,10/29/22,Bournemouth,Premier League MW 14,,,,,,,,,,,
2022-23,11/1/22,Marseille,Champions League Group Stage,,,,,,,,,,,
2022-23,11/6/22,Liverpool,Premier League MW 15,,,,,,,,,,,
2022-23,11/9/22,Nottingham Forest,League Cup Third Round,,,,,,,,,,,
2022-23,11/12/22,Leeds United,Premier League MW 16,,,,,,,,,,,
2022-23,12/26/22,Brentford,Premier League MW 17,,,,,,,,,,,
2022-23,1/1/23,Aston Villa,Premier League MW 18,,,,,,,,,,,
2022-23,1/4/23,Crystal Palace,Premier League MW 19,,,,,,,,,,,
2022-23,1/7/23,Portsmouth,FA Cup Third Round,,,,,,,,,,,
2022-23,1/15/23,Arsenal,Premier League MW 20,,,,,,,,,,,
2022-23,1/19/23,Man City,Premier League MW 7,,,,,,,,,,,
2022-23,1/23/23,Fulham,Premier League MW 21,,,,,,,,,,,
2022-23,1/28/23,Preston North End,FA Cup Fourth Round,,,,,,,,,,,
2022-23,2/5/23,Man City,Premier League MW 22,,,,,,,,,,,
2022-23,2/11/23,Leicester City,Premier League MW 23,,,,,,,,,,,
2022-23,2/14/23,AC Milan,Champions League Round of 16,,,,,,,,,,,
2022-23,2/19/23,West Ham United,Premier League MW 24,,,,,,,,,,,
2022-23,2/26/23,Chelsea,Premier League MW 25,,,,,,,,,,,
2022-23,3/1/23,Sheffield United,FA Cup Fifth Round,,,,,,,,,,,
2022-23,3/4/23,Wolves,Premier League MW 26,,,,,,,,,,,
2022-23,3/8/23,AC Milan,Champions League Round of 16,,,,,,,,,,,
2022-23,3/11/23,Nottingham Forest,Premier League MW 27,,,,,,,,,,,
2022-23,3/18/23,Southampton,Premier League MW 28,,,,,,,,,,,
2022-23,4/3/23,Everton,Premier League MW 29,,,,,,,,,,,
2022-23,4/8/23,Brighton,Premier League MW 30,,,,,,,,,,,
2022-23,4/15/23,Bournemouth,Premier League MW 31,,,,,,,,,,,
2022-23,4/23/23,Newcastle United,Premier League MW 32,,,,,,,,,,,
2022-23,4/27/23,Man United,Premier League MW 33,,,,,,,,,,,
2022-23,4/30/23,Liverpool,Premier League MW 34,,,,,,,,,,,
2022-23,5/6/23,Crystal Palace,Premier League MW 35,,,,,,,,,,,
2022-23,5/13/23,Aston Villa,Premier League MW 36,,,,,,,,,,,
2022-23,5/20/23,Brentford,Premier League MW 37,,,,,,,,,,,
2022-23,5/28/23,Leeds United,Premier League MW 38,,,,,,,,,,,
2023-24,8/13/23,Brentford,Premier League MW 1,,,,,,,,,,,
2023-24,8/19/23,Man United,Premier League MW 2,,,,,,,,,,,
2023-24,8/26/23,Bournemouth,Premier League MW 3,,,,,,,,,,,
2023-24,8/29/23,Fulham,League Cup Second Round,,,,,,,,,,,
2023-24,9/2/23,Burnley,Premier League MW 4,,,,,,,,,,,
2023-24,9/16/23,Sheffield United,Premier League MW 5,,,,,,,,,,,
2023-24,9/24/23,Arsenal,Premier League MW 6,,,,,,,,,,,
2023-24,9/30/23,Liverpool,Premier League MW 7,,,,,,,,,,,
2023-24,10/7/23,Luton Town,Premier League MW 8,,,,,,,,,,,
2023-24,10/23/23,Fulham,Premier League MW 9,,,,,,,,,,,
2023-24,10/27/23,Crystal Palace,Premier League MW 10,,,,,,,,,,,
2023-24,11/6/23,Chelsea,Premier League MW 11,,,,,,,,,,,
2023-24,11/11/23,Wolves,Premier League MW 12,,,,,,,,,,,
2023-24,11/26/23,Aston Villa,Premier League MW 13,,,,,,,,,,,
2023-24,12/3/23,Man City,Premier League MW 14,,,,,,,,,,,
2023-24,12/7/23,West Ham United,Premier League MW 15,,,,,,,,,,,
2023-24,12/10/23,Newcastle United,Premier League MW 16,,,,,,,,,,,
2023-24,12/15/23,Nottingham Forest,Premier League MW 17,,,,,,,,,,,
2023-24,12/23/23,Everton,Premier League MW 18,,,,,,,,,,,
2023-24,12/28/23,Brighton,Premier League MW 19,,,,,,,,,,,
2023-24,12/31/23,Bournemouth,Premier League MW 20,,,,,,,,,,,
2023-24,1/5/24,Burnley,FA Cup Third Round,,,,,,,,,,,
2023-24,1/14/24,Man United,Premier League MW 21,,,,,,,,,,,
2023-24,1/26/24,Man City,FA Cup Fourth Round,,,,,,,,,,,
2023-24,1/31/24,Brentford,Premier League MW 22,,,,,,,,,,,
2023-24,2/3/24,Everton,Premier League MW 23,,,,,,,,,,,
2023-24,2/10/24,Brighton,Premier League MW 24,,,,,,,,,,,
2023-24,2/17/24,Wolves,Premier League MW 25,,,,,,,,,,,
2023-24,3/2/24,Crystal Palace,Premier League MW 27,,,,,,,,,,,
2023-24,3/10/24,Aston Villa,Premier League MW 28,,,,,,,,,,,
2023-24,3/16/24,Fulham,Premier League MW 29,,,,,,,,,,,
2023-24,3/30/24,Luton Town,Premier League MW 30,,,,,,,,,,,
2023-24,4/2/24,West Ham United,Premier League MW 31,,,,,,,,,,,
2023-24,4/7/24,Nottingham Forest,Premier League MW 32,,,,,,,,,,,
2023-24,4/13/24,Newcastle United,Premier League MW 33,,,,,,,,,,,
2023-24,4/28/24,Arsenal,Premier League MW 35,,,,,,,,,,,
2023-24,5/2/24,Chelsea,Premier League MW 26,,,,,,,,,,,
2023-24,5/5/24,Liverpool,Premier League MW 36,,,,,,,,,,,
2023-24,5/11/24,Burnley,Premier League MW 37,,,,,,,,,,,
2023-24,5/14/24,Man City,Premier League MW 34,,,,,,,,,,,
2023-24,5/19/24,Sheffield United,Premier League MW 38,,,,,,,,,,,
2024-25,8/19/24,Leicester City,Premier League MW 1,,,,,,,,,,,
2024-25,8/24/24,Everton,Premier League MW 2,,,,,,,,,,,
2024-25,9/1/24,Newcastle United,Premier League MW 3,,,,,,,,,,,
2024-25,9/15/24,Arsenal,Premier League MW 4,,,,,,,,,,,
2024-25,9/18/24,Coventry City,League Cup Third Round,,,,,,,,,,,
2024-25,9/21/24,Brentford,Premier League MW 5,,,,,,,,,,,
2024-25,9/26/24,Qarabag,Europa League League Phase,,,,,,,,,,,
2024-25,9/29/24,Man United,Premier League MW 6,,,,,,,,,,,
2024-25,10/3/24,Ferencvaros,Europa League League Phase,,,,,,,,,,,
2024-25,10/6/24,Brighton,Premier League MW 7,,,,,,,,,,,
2024-25,10/19/24,West Ham United,Premier League MW 8,,,,,,,,,,,
2024-25,10/24/24,AZ Alkmaar,Europa League League Phase,,,,,,,,,,,
2024-25,10/27/24,Crystal Palace,Premier League MW 9,,,,,,,,,,,
2024-25,10/30/24,Man City,League Cup Fourth Round,,,,,,,,,,,
2024-25,11/3/24,Aston Villa,Premier League MW 10,,,,,,,,,,,
2024-25,11/7/24,Galatasaray,Europa League League Phase,,,,,,,,,,,
2024-25,11/10/24,Ipswich Town,Premier League MW 11,,,,,,,,,,,
2024-25,11/23/24,Man City,Premier League MW 12,,,,,,,,,,,
2024-25,11/28/24,AS Roma,Europa League League Phase,,,,,,,,,,,
2024-25,12/1/24,Fulham,Premier League MW 13,,,,,,,,,,,
2024-25,12/5/24,Bournemouth,Premier League MW 14,,,,,,,,,,,
2024-25,12/8/24,Chelsea,Premier League MW 15,,,,,,,,,,,
2024-25,12/12/24,Rangers,Europa League League Phase,,,,,,,,,,,
2024-25,12/15/24,Southampton,Premier League MW 16,,,,,,,,,,,
2024-25,12/19/24,Man United,League Cup Quarterfinals,,,,,,,,,,,
2024-25,12/22/24,Liverpool,Premier League MW 17,,,,,,,,,,,
2024-25,12/26/24,Nottingham Forest,Premier League MW 18,,,,,,,,,,,
2024-25,12/29/24,Wolves,Premier League MW 19,,,,,,,,,,,
2024-25,1/4/25,Newcastle United,Premier League MW 20,,,,,,,,,,,
2024-25,1/8/25,Liverpool,League Cup Semifinals,,,,,,,,,,,
2024-25,1/12/25,Tamworth,FA Cup Third Round,,,,,,,,,,,
2024-25,1/15/25,Arsenal,Premier League MW 21,,,,,,,,,,,
2024-25,1/19/25,Everton,Premier League MW 22,,,,,,,,,,,
2024-25,1/23/25,Hoffenheim,Europa League League Phase,,,,,,,,,,,
2024-25,1/26/25,Leicester City,Premier League MW 23,,,,,,,,,,,
2024-25,1/30/25,Elfsborg,Europa League League Phase,,,,,,,,,,,
2024-25,2/2/25,Brentford,Premier League MW 24,,,,,,,,,,,
2024-25,2/6/25,Liverpool,League Cup Semifinals,,,,,,,,,,,
2024-25,2/9/25,Aston Villa,FA Cup Fourth Round,,,,,,,,,,,
2024-25,2/16/25,Man United,Premier League MW 25,,,,,,,,,,,
2024-25,2/22/25,Ipswich Town,Premier League MW 26,,,,,,,,,,,
2024-25,2/26/25,Man City,Premier League MW 27,,,,,,,,,,,
2024-25,3/6/25,AZ Alkmaar,Europa League Round of 16,,,,,,,,,,,
2024-25,3/9/25,Bournemouth,Premier League MW 28,,,,,,,,,,,
2024-25,3/13/25,AZ Alkmaar,Europa League Round of 16,,,,,,,,,,,
2024-25,3/16/25,Fulham,Premier League MW 29,,,,,,,,,,,
2024-25,4/3/25,Chelsea,Premier League MW 30,,,,,,,,,,,
2024-25,4/6/25,Southampton,Premier League MW 31,,,,,,,,,,,
2024-25,4/10/25,Eintracht Frankfurt,Europa League Quarterfinals,,,,,,,,,,,
2024-25,4/13/25,Wolves,Premier League MW 32,,,,,,,,,,,
2024-25,4/17/25,Eintracht Frankfurt,Europa League Quarterfinals,,,,,,,,,,,
2024-25,4/21/25,Nottingham Forest,Premier League MW 33,,,,,,,,,,,
2024-25,4/27/25,Liverpool,Premier League MW 34,,,,,,,,,,,
2024-25,5/1/25,Bodø/Glimt,Europa League Semifinals,,,,,,,,,,,
2024-25,5/4/25,West Ham United,Premier League MW 35,,,,,,,,,,,
2024-25,5/8/25,Bodø/Glimt,Europa League Semifinals,,,,,,,,,,,
2024-25,5/11/25,Crystal Palace,Premier League MW 36,,,,,,,,,,,
2024-25,5/16/25,Aston Villa,Premier League MW 37,,,,,,,,,,,
2024-25,5/21/25,Man United,Europa League Final,,,,,,,,,,,
2024-25,5/25/25,Brighton,Premier League MW 38,,,,,,,,,,,
2025-26,8/13/25,PSG,Super Cup,,,,,,,,,,,
2025-26,8/16/25,Burnley,Premier League MW 1,,,,,,,,,,,
2025-26,8/23/25,Man City,Premier League MW 2,,,,,,,,,,,
2025-26,8/30/25,Bournemouth,Premier League MW 3,,,,,,,,,,,
2025-26,9/13/25,West Ham United,Premier League MW 4,,,,,,,,,,,
2025-26,9/16/25,Villarreal,Champions League League Phase,,,,,,,,,,,
2025-26,9/20/25,Brighton,Premier League MW 5,,,,,,,,,,,
2025-26,9/24/25,Doncaster Rovers,League Cup Third Round,,,,,,,,,,,
2025-26,9/27/25,Wolves,Premier League MW 6,,,,,,,,,,,
2025-26,9/30/25,Bodø/Glimt,Champions League League Phase,,,,,,,,,,,
2025-26,10/4/25,Leeds United,Premier League MW 7,,,,,,,,,,,
2025-26,10/19/25,Aston Villa,Premier League MW 8,,,,,,,,,,,
2025-26,10/22/25,AS Monaco,Champions League League Phase,,,,,,,,,,,
2025-26,10/26/25,Everton,Premier League MW 9,,,,,,,,,,,
2025-26,10/29/25,Newcastle United,League Cup Fourth Round,,,,,,,,,,,
2025-26,11/1/25,Chelsea,Premier League MW 10,,,,,,,,,,,
2025-26,11/4/25,FC Copenhagen,Champions League League Phase,,,,,,,,,,,
2025-26,11/8/25,Man United,Premier League MW 11,,,,,,,,,,,
2025-26,11/23/25,Arsenal,Premier League MW 12,,,,,,,,,,,
2025-26,11/26/25,PSG,Champions League League Phase,,,,,,,,,,,
2025-26,11/29/25,Fulham,Premier League MW 13,,,,,,,,,,,
2025-26,12/2/25,Newcastle United,Premier League MW 14,,,,,,,,,,,
2025-26,12/6/25,Brentford,Premier League MW 15,,,,,,,,,,,
2025-26,12/9/25,Slavia Prague,Champions League League Phase,,,,,,,,,,,
2025-26,12/14/25,Nottingham Forest,Premier League MW 16,,,,,,,,,,,
2025-26,12/20/25,Liverpool,Premier League MW 17,,,,,,,,,,,
2025-26,12/28/25,Crystal Palace,Premier League MW 18,,,,,,,,,,,
2025-26,1/1/26,Brentford,Premier League MW 19,,,,,,,,,,,
2025-26,1/4/26,Sunderland,Premier League MW 20,,,,,,,,,,,
2025-26,1/7/26,Bournemouth,Premier League MW 21,,,,,,,,,,,
2025-26,1/10/26,Aston Villa,FA Cup Third Round,,,,,,,,,,,
2025-26,1/17/26,West Ham United,Premier League MW 22,,,,,,,,,,,
2025-26,1/20/26,Borussia Dortmund,Champions League League Phase,,,,,,,,,,,
2025-26,1/24/26,Burnley,Premier League MW 23,,,,,,,,,,,
2025-26,1/28/26,Eintracht Frankfurt,Champions League League Phase,,,,,,,,,,,
2025-26,2/1/26,Man City,Premier League MW 24,,,,,,,,,,,
2025-26,2/7/26,Man United,Premier League MW 25,,,,,,,,,,,
2025-26,2/10/26,Newcastle United,Premier League MW 26,,,,,,,,,,,
2025-26,2/22/26,Arsenal,Premier League MW 27,,,,,,,,,,,
2025-26,3/1/26,Fulham,Premier League MW 28,,,,,,,,,,,
2025-26,3/5/26,Crystal Palace,Premier League MW 29,,,,,,,,,,,
2025-26,3/10/26,Atlético Madrid,Champions League Round of 16,,,,,,,,,,,
2025-26,3/15/26,Liverpool,Premier League MW 30,,,,,,,,,,,
2025-26,3/18/26,Atlético Madrid,Champions League Round of 16,,,,,,,,,,,
2025-26,3/22/26,Nottingham Forest,Premier League MW 31,,,,,,,,,,,
2025-26,4/12/26,Sunderland,Premier League MW 32,,,,,,,,,,,
2025-26,4/18/26,Brighton,Premier League MW 33,,,,,,,,,,,
2025-26,4/25/26,Wolves,Premier League MW 34,,,,,,,,,,,
2025-26,5/3/26,Aston Villa,Premier League MW 35,,,,,,,,,,,
2025-26,5/11/26,Leeds United,Premier League MW 36,,,,,,,,,,,
2025-26,5/19/26,Chelsea,Premier League MW 37,,,,,,,,,,,
2025-26,5/24/26,Everton,Premier League MW 38,,,,,,,,,,,
2026-27,8/22/26,Brentford,Premier League MW 1,,,,,,,,,,,
2026-27,8/26/26,Charlton Athletic,League Cup Second Round,,,,,,,,,,,
2026-27,8/29/26,Newcastle United,Premier League MW 2,,,,,,,,,,,
2026-27,9/5/26,Nottingham Forest,Premier League MW 3,,,,,,,,,,,
2026-27,9/12/26,Everton,Premier League MW 4,,,,,,,,,,,
2026-27,9/15/26,Liverpool,League Cup Third Round,,,,,,,,,,,
2026-27,9/19/26,Aston Villa,Premier League MW 5,,,,,,,,,,,
2026-27,10/10/26,Man United,Premier League MW 6,,,,,,,,,,,
2026-27,10/19/26,Coventry City,Premier League MW 7,,,,,,,,,,,
2026-27,10/24/26,Chelsea,Premier League MW 8,,,,,,,,,,,
2026-27,10/31/26,Crystal Palace,Premier League MW 9,,,,,,,,,,,
2026-27,11/7/26,Leeds United,Premier League MW 10,,,,,,,,,,,
2026-27,11/21/26,Ipswich Town,Premier League MW 11,,,,,,,,,,,
2026-27,11/29/26,Sunderland,Premier League MW 12,,,,,,,,,,,
2026-27,12/2/26,Fulham,Premier League MW 13,,,,,,,,,,,
2026-27,12/5/26,Arsenal,Premier League MW 14,,,,,,,,,,,
2026-27,12/12/26,Hull City,Premier League MW 15,,,,,,,,,,,
2026-27,12/19/26,Liverpool,Premier League MW 16,,,,,,,,,,,
2026-27,12/26/26,Bournemouth,Premier League MW 17,,,,,,,,,,,
2026-27,12/29/26,Brighton,Premier League MW 18,,,,,,,,,,,
2026-27,1/3/27,Man City,Premier League MW 19,,,,,,,,,,,
2026-27,1/6/27,Fulham,Premier League MW 20,,,,,,,,,,,
2026-27,1/16/27,Leeds United,Premier League MW 21,,,,,,,,,,,
2026-27,1/23/27,Crystal Palace,Premier League MW 22,,,,,,,,,,,
2026-27,1/30/27,Sunderland,Premier League MW 23,,,,,,,,,,,
2026-27,2/6/27,Ipswich Town,Premier League MW 24,,,,,,,,,,,
2026-27,2/10/27,Man City,Premier League MW 25,,,,,,,,,,,
2026-27,2/20/27,Brighton,Premier League MW 26,,,,,,,,,,,
2026-27,2/27/27,Liverpool,Premier League MW 27,,,,,,,,,,,
2026-27,3/3/27,Bournemouth,Premier League MW 28,,,,,,,,,,,
2026-27,3/13/27,Nottingham Forest,Premier League MW 29,,,,,,,,,,,
2026-27,3/20/27,Everton,Premier League MW 30,,,,,,,,,,,
2026-27,4/10/27,Brentford,Premier League MW 31,,,,,,,,,,,
2026-27,4/17/27,Newcastle United,Premier League MW 32,,,,,,,,,,,
2026-27,4/24/27,Hull City,Premier League MW 33,,,,,,,,,,,
2026-27,5/1/27,Arsenal,Premier League MW 34,,,,,,,,,,,
2026-27,5/8/27,Chelsea,Premier League MW 35,,,,,,,,,,,
2026-27,5/15/27,Coventry City,Premier League MW 36,,,,,,,,,,,
2026-27,5/23/27,Man United,Premier League MW 37,,,,,,,,,,,
2026-27,5/30/27,Aston Villa,Premier League MW 38,,,,,,,,,,,
